"","class","a","b"
"1",4,0.000499378378456672,1.30866327688436
"2",5,2.38657853352472e-06,3.36202447087616
"3",6,1.68505765730865e-07,4.31301669679643
"4",7,1.20711546233751e-09,4.3277952716186
"5",8,6.08168060066321e-17,8.80830241292875
"6",9,8.89754888959587e-18,9.37093945246298
