"","class","a","b"
"1",4,0.000822292975282754,2.41089827817405
"2",5,2.8725694486384e-05,3.71494019114784
"3",6,4.43773407677193e-06,4.41346491225612
"4",7,3.67344391075489e-15,8.58588795132727
"5",8,9.35797003774267e-17,9.6039680266608
"6",9,1.50899477882487e-16,9.56160336665687
